start	end
808	828
100896	100920
201056	201080
301216	301240
401376	401400
501536	501560
601696	601720
701856	701880
802016	802040
902184	902204
1002336	1002360
1102496	1102520
1202656	1202680
1302816	1302840
1402976	1403000
1503136	1503160
1603296	1603320
1703456	1703480
1803616	1803640
1903776	1903800
2003936	2003960
2104096	2104120
2204256	2204280
2304416	2304440
2404576	2404600
2504744	2504764
2604896	2604920
2705056	2705080
2805216	2805240
2905376	2905400
3005536	3005560
3105696	3105720
3205856	3205880
3306016	3306040
3406176	3406200
3506336	3506360
3606496	3606520
3706656	3706680
3806816	3806840
3906976	3907000
4007136	4007160
4107304	4107324
4207456	4207480
4307616	4307640
4407776	4407800
4507936	4507960
4608096	4608120
4708256	4708280
4808416	4808440
4908576	4908600
