start	end
2084	2120
2128	2164
2168	2200
2208	2240
2248	2276
2284	2312
2320	2344
2352	2376
2384	2408
2416	2436
2444	2464
52092	52128
52132	52168
52176	52208
52216	52252
52260	52288
52296	52324
52332	52360
52364	52392
52396	52420
52428	52452
52456	52480
102172	102208
102212	102248
102256	102288
102296	102328
102332	102364
102368	102400
102412	102440
102444	102472
102476	102500
102508	102532
102536	102560
152252	152288
152292	152328
152336	152368
152376	152408
152412	152444
152448	152480
152484	152512
152520	152544
152552	152580
152588	152612
152616	152640
202332	202368
202372	202408
202416	202448
202456	202488
202492	202524
202528	202560
