start	end
600	612
628	636
100680	100692
100708	100716
200840	200852
200868	200876
301000	301012
301028	301036
401160	401172
401188	401200
501320	501332
501348	501360
601480	601492
601508	601516
701640	701652
701668	701680
801800	801820
801836	801844
901960	901972
901988	902000
1002120	1002132
1002148	1002156
1102280	1102292
1102308	1102320
1202440	1202452
1202468	1202480
1302600	1302612
1302628	1302636
1402760	1402772
1402788	1402796
1502920	1502932
1502948	1502956
1603080	1603092
1603108	1603120
1703240	1703252
1703268	1703276
1803400	1803412
1803428	1803440
1903560	1903572
1903588	1903596
2003720	2003732
2003748	2003760
2103880	2103892
2103908	2103916
2204040	2204052
2204068	2204076
2304200	2304212
2304228	2304236
2404360	2404380
2404396	2404404
