start	end
580	604
5508	5520
10516	10528
15524	15536
20532	20544
25540	25552
30548	30560
35556	35568
40564	40576
45572	45584
50580	50592
55588	55600
60596	60608
65604	65616
70612	70624
75620	75632
80628	80640
85636	85648
90644	90656
95652	95664
100660	100684
105668	105680
110676	110688
115684	115696
120692	120704
125700	125712
130708	130720
135716	135728
140724	140736
145732	145744
150740	150752
155748	155760
160756	160768
165764	165776
170772	170784
175780	175792
180788	180800
185796	185808
190804	190816
195812	195824
200820	200844
205828	205840
210836	210848
215844	215856
220852	220864
225860	225872
230868	230880
235876	235888
240884	240896
245892	245904
